"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 16:00:02 GMT 2023","Thu Apr 13 16:00:06 GMT 2023","4225","tests","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból","Cikkek létrehozása"
"passed","Thu Apr 13 15:59:34 GMT 2023","Thu Apr 13 15:59:35 GMT 2023","774","tests","test_conduit","TestConduit","","","Bejelentkezés","Bejelentkezés valid adatokkal"
"passed","Thu Apr 13 15:59:26 GMT 2023","Thu Apr 13 15:59:26 GMT 2023","40","tests","test_conduit","TestConduit","","","Adatkezelési nyilatkozat","Adatkezelési nyilatkozat elfogadása"
"broken","Thu Apr 13 15:59:53 GMT 2023","Thu Apr 13 16:00:01 GMT 2023","7923","tests","test_conduit","TestConduit","","","Adatok lementése felületről","TestUser1 cikkeinek lementése"
"passed","Thu Apr 13 15:59:44 GMT 2023","Thu Apr 13 15:59:46 GMT 2023","2558","tests","test_conduit","TestConduit","","","Meglévő adat módosítás","Saját cikkem megmódosítása"
"passed","Thu Apr 13 15:59:49 GMT 2023","Thu Apr 13 15:59:52 GMT 2023","2436","tests","test_conduit","TestConduit","","","Adat vagy adatok törlése","Saját cikkem törlése"
"passed","Thu Apr 13 15:59:27 GMT 2023","Thu Apr 13 15:59:28 GMT 2023","880","tests","test_conduit","TestConduit","","","Regisztráció","Regisztráció invalid adatokkal"
"passed","Thu Apr 13 15:59:38 GMT 2023","Thu Apr 13 15:59:40 GMT 2023","2091","tests","test_conduit","TestConduit","","","Adatok listázása","Címkék bejárása"
"passed","Thu Apr 13 15:59:33 GMT 2023","Thu Apr 13 15:59:33 GMT 2023","272","tests","test_conduit","TestConduit","","","Bejelentkezés","Bejelentkezés invalid adatokkal"
"passed","Thu Apr 13 15:59:25 GMT 2023","Thu Apr 13 15:59:25 GMT 2023","129","tests","test_conduit","TestConduit","","","Adatkezelési nyilatkozat","Adatkezelési nyilatkozat elutasítása"
"passed","Thu Apr 13 15:59:48 GMT 2023","Thu Apr 13 15:59:48 GMT 2023","859","tests","test_conduit","TestConduit","","","Több oldalas lista bejárása","Az alkalmazás oldalainak bejárása"
"passed","Thu Apr 13 15:59:29 GMT 2023","Thu Apr 13 15:59:31 GMT 2023","2432","tests","test_conduit","TestConduit","","","Regisztráció","Regisztráció valid adatokkal"
"passed","Thu Apr 13 15:59:41 GMT 2023","Thu Apr 13 15:59:43 GMT 2023","2069","tests","test_conduit","TestConduit","","","Új adat bevitel","Új cikk létrehozása"
"passed","Thu Apr 13 15:59:36 GMT 2023","Thu Apr 13 15:59:37 GMT 2023","835","tests","test_conduit","TestConduit","","","Kijelentkezés","Kijelentkezés"
