"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 17:32:47 GMT 2023","Sat Apr 08 17:32:48 GMT 2023","781","tests","test_proba","TestConduit","","","test_registration_invalid",""
"passed","Sat Apr 08 17:32:49 GMT 2023","Sat Apr 08 17:32:51 GMT 2023","2417","tests","test_proba","TestConduit","","","test_registration_valid",""
"passed","Sat Apr 08 17:32:45 GMT 2023","Sat Apr 08 17:32:45 GMT 2023","54","tests","test_proba","TestConduit","","","test_cookies_decline",""
"passed","Sat Apr 08 17:33:02 GMT 2023","Sat Apr 08 17:33:04 GMT 2023","2186","tests","test_proba","TestConduit","","","test_my_article_mod",""
"passed","Sat Apr 08 17:32:56 GMT 2023","Sat Apr 08 17:32:57 GMT 2023","885","tests","test_proba","TestConduit","","","test_logout",""
"passed","Sat Apr 08 17:32:46 GMT 2023","Sat Apr 08 17:32:46 GMT 2023","44","tests","test_proba","TestConduit","","","test_cookies_accept",""
"passed","Sat Apr 08 17:32:58 GMT 2023","Sat Apr 08 17:33:01 GMT 2023","2583","tests","test_proba","TestConduit","","","test_new_article",""
"passed","Sat Apr 08 17:32:54 GMT 2023","Sat Apr 08 17:32:55 GMT 2023","815","tests","test_proba","TestConduit","","","test_signin_valid",""
"passed","Sat Apr 08 17:32:53 GMT 2023","Sat Apr 08 17:32:53 GMT 2023","285","tests","test_proba","TestConduit","","","test_signin_invalid",""
"broken","Sat Apr 08 17:33:05 GMT 2023","Sat Apr 08 17:33:12 GMT 2023","6776","tests","test_proba","TestConduit","","","test_del_my_article",""
