"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 06 08:07:39 GMT 2023","Thu Apr 06 08:07:39 GMT 2023","0","tests","test_proba","TestConduit","","","test_registration",""
"broken","Thu Apr 06 08:07:36 GMT 2023","Thu Apr 06 08:07:36 GMT 2023","0","tests","test_proba","TestConduit","","","test_signin",""
"broken","Thu Apr 06 08:07:40 GMT 2023","Thu Apr 06 08:07:40 GMT 2023","0","tests","test_proba","TestConduit","","","test_logout",""
