"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 14 13:31:56 GMT 2023","Sun May 14 13:31:57 GMT 2023","890","tests","test_conduit","TestConduit","","","Több oldalas lista bejárása","Az alkalmazás oldalainak bejárása"
"passed","Sun May 14 13:31:43 GMT 2023","Sun May 14 13:31:43 GMT 2023","806","tests","test_conduit","TestConduit","","","Bejelentkezés","Bejelentkezés valid adatokkal"
"broken","Sun May 14 13:32:01 GMT 2023","Sun May 14 13:32:15 GMT 2023","14530","tests","test_conduit","TestConduit","","","Adatok lementése felületről","TestUser1 cikkeinek lementése"
"passed","Sun May 14 13:31:41 GMT 2023","Sun May 14 13:31:42 GMT 2023","302","tests","test_conduit","TestConduit","","","Bejelentkezés","Bejelentkezés invalid adatokkal"
"passed","Sun May 14 13:31:33 GMT 2023","Sun May 14 13:31:34 GMT 2023","468","tests","test_conduit","TestConduit","","","Adatkezelési nyilatkozat","Adatkezelési nyilatkozat elutasítása"
"passed","Sun May 14 13:31:53 GMT 2023","Sun May 14 13:31:55 GMT 2023","2206","tests","test_conduit","TestConduit","","","Meglévő adat módosítás","Saját cikkem megmódosítása"
"passed","Sun May 14 13:31:58 GMT 2023","Sun May 14 13:32:00 GMT 2023","1988","tests","test_conduit","TestConduit","","","Adat vagy adatok törlése","Saját cikkem törlése"
"passed","Sun May 14 13:31:44 GMT 2023","Sun May 14 13:31:45 GMT 2023","866","tests","test_conduit","TestConduit","","","Kijelentkezés","Kijelentkezés"
"passed","Sun May 14 13:31:46 GMT 2023","Sun May 14 13:31:49 GMT 2023","2256","tests","test_conduit","TestConduit","","","Adatok listázása","Címkék bejárása"
"passed","Sun May 14 13:32:16 GMT 2023","Sun May 14 13:32:21 GMT 2023","4767","tests","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból","Cikkek létrehozása"
"passed","Sun May 14 13:31:49 GMT 2023","Sun May 14 13:31:52 GMT 2023","2500","tests","test_conduit","TestConduit","","","Új adat bevitel","Új cikk létrehozása"
"passed","Sun May 14 13:31:36 GMT 2023","Sun May 14 13:31:37 GMT 2023","1025","tests","test_conduit","TestConduit","","","Regisztráció","Regisztráció invalid adatokkal"
"passed","Sun May 14 13:31:38 GMT 2023","Sun May 14 13:31:40 GMT 2023","2532","tests","test_conduit","TestConduit","","","Regisztráció","Regisztráció valid adatokkal"
"passed","Sun May 14 13:31:35 GMT 2023","Sun May 14 13:31:35 GMT 2023","50","tests","test_conduit","TestConduit","","","Adatkezelési nyilatkozat","Adatkezelési nyilatkozat elfogadása"
