"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 16:20:47 GMT 2023","Thu Apr 13 16:20:48 GMT 2023","778","tests","test_conduit","TestConduit","","","Regisztráció","Regisztráció invalid adatokkal"
"passed","Thu Apr 13 16:20:55 GMT 2023","Thu Apr 13 16:20:56 GMT 2023","857","tests","test_conduit","TestConduit","","","Kijelentkezés","Kijelentkezés"
"passed","Thu Apr 13 16:20:49 GMT 2023","Thu Apr 13 16:20:51 GMT 2023","2366","tests","test_conduit","TestConduit","","","Regisztráció","Regisztráció valid adatokkal"
"passed","Thu Apr 13 16:20:57 GMT 2023","Thu Apr 13 16:20:59 GMT 2023","2044","tests","test_conduit","TestConduit","","","Adatok listázása","Címkék bejárása"
"passed","Thu Apr 13 16:20:53 GMT 2023","Thu Apr 13 16:20:54 GMT 2023","804","tests","test_conduit","TestConduit","","","Bejelentkezés","Bejelentkezés valid adatokkal"
"passed","Thu Apr 13 16:20:52 GMT 2023","Thu Apr 13 16:20:52 GMT 2023","253","tests","test_conduit","TestConduit","","","Bejelentkezés","Bejelentkezés invalid adatokkal"
"passed","Thu Apr 13 16:20:46 GMT 2023","Thu Apr 13 16:20:46 GMT 2023","40","tests","test_conduit","TestConduit","","","Adatkezelési nyilatkozat","Adatkezelési nyilatkozat elfogadása"
"passed","Thu Apr 13 16:21:14 GMT 2023","Thu Apr 13 16:21:28 GMT 2023","14207","tests","test_conduit","TestConduit","","","Adatok lementése felületről","TestUser1 cikkeinek lementése"
"passed","Thu Apr 13 16:20:44 GMT 2023","Thu Apr 13 16:20:44 GMT 2023","50","tests","test_conduit","TestConduit","","","Adatkezelési nyilatkozat","Adatkezelési nyilatkozat elutasítása"
"passed","Thu Apr 13 16:21:01 GMT 2023","Thu Apr 13 16:21:03 GMT 2023","2391","tests","test_conduit","TestConduit","","","Új adat bevitel","Új cikk létrehozása"
"passed","Thu Apr 13 16:21:04 GMT 2023","Thu Apr 13 16:21:06 GMT 2023","2447","tests","test_conduit","TestConduit","","","Meglévő adat módosítás","Saját cikkem megmódosítása"
"passed","Thu Apr 13 16:21:29 GMT 2023","Thu Apr 13 16:21:33 GMT 2023","4079","tests","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból","Cikkek létrehozása"
"passed","Thu Apr 13 16:21:08 GMT 2023","Thu Apr 13 16:21:09 GMT 2023","1318","tests","test_conduit","TestConduit","","","Több oldalas lista bejárása","Az alkalmazás oldalainak bejárása"
"passed","Thu Apr 13 16:21:10 GMT 2023","Thu Apr 13 16:21:13 GMT 2023","2905","tests","test_conduit","TestConduit","","","Adat vagy adatok törlése","Saját cikkem törlése"
