"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 00:25:30 GMT 2023","Wed Apr 12 00:25:33 GMT 2023","2467","tests","test_conduit","TestConduit","","","test_my_article_mod",""
"passed","Wed Apr 12 00:25:36 GMT 2023","Wed Apr 12 00:25:39 GMT 2023","2913","tests","test_conduit","TestConduit","","","test_del_my_article",""
"passed","Wed Apr 12 00:25:15 GMT 2023","Wed Apr 12 00:25:17 GMT 2023","2444","tests","test_conduit","TestConduit","","","test_registration_valid",""
"passed","Wed Apr 12 00:25:12 GMT 2023","Wed Apr 12 00:25:12 GMT 2023","44","tests","test_conduit","TestConduit","","","test_cookies_accept",""
"passed","Wed Apr 12 00:25:22 GMT 2023","Wed Apr 12 00:25:23 GMT 2023","844","tests","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Apr 12 00:25:20 GMT 2023","Wed Apr 12 00:25:21 GMT 2023","818","tests","test_conduit","TestConduit","","","test_signin_valid",""
"passed","Wed Apr 12 00:25:10 GMT 2023","Wed Apr 12 00:25:10 GMT 2023","163","tests","test_conduit","TestConduit","","","test_cookies_decline",""
"passed","Wed Apr 12 00:25:34 GMT 2023","Wed Apr 12 00:25:35 GMT 2023","1320","tests","test_conduit","TestConduit","","","test_all_page",""
"passed","Wed Apr 12 00:25:24 GMT 2023","Wed Apr 12 00:25:26 GMT 2023","2170","tests","test_conduit","TestConduit","","","test_tag_list",""
"passed","Wed Apr 12 00:25:13 GMT 2023","Wed Apr 12 00:25:14 GMT 2023","994","tests","test_conduit","TestConduit","","","test_registration_invalid",""
"passed","Wed Apr 12 00:25:19 GMT 2023","Wed Apr 12 00:25:19 GMT 2023","272","tests","test_conduit","TestConduit","","","test_signin_invalid",""
"passed","Wed Apr 12 00:25:27 GMT 2023","Wed Apr 12 00:25:29 GMT 2023","1979","tests","test_conduit","TestConduit","","","test_new_article",""
