"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 00:22:13 GMT 2023","Sun Apr 09 00:22:16 GMT 2023","3038","tests","test_proba","TestConduit","","","test_my_article_mod",""
"passed","Sun Apr 09 00:22:05 GMT 2023","Sun Apr 09 00:22:05 GMT 2023","274","tests","test_proba","TestConduit","","","test_signin_invalid",""
"passed","Sun Apr 09 00:22:06 GMT 2023","Sun Apr 09 00:22:07 GMT 2023","788","tests","test_proba","TestConduit","","","test_signin_valid",""
"passed","Sun Apr 09 00:22:08 GMT 2023","Sun Apr 09 00:22:09 GMT 2023","832","tests","test_proba","TestConduit","","","test_logout",""
"passed","Sun Apr 09 00:21:57 GMT 2023","Sun Apr 09 00:21:57 GMT 2023","41","tests","test_proba","TestConduit","","","test_cookies_accept",""
"passed","Sun Apr 09 00:22:10 GMT 2023","Sun Apr 09 00:22:12 GMT 2023","2456","tests","test_proba","TestConduit","","","test_new_article",""
"passed","Sun Apr 09 00:22:19 GMT 2023","Sun Apr 09 00:22:22 GMT 2023","2523","tests","test_proba","TestConduit","","","test_del_my_article",""
"passed","Sun Apr 09 00:22:17 GMT 2023","Sun Apr 09 00:22:18 GMT 2023","878","tests","test_proba","TestConduit","","","test_all_page",""
"passed","Sun Apr 09 00:21:56 GMT 2023","Sun Apr 09 00:21:56 GMT 2023","378","tests","test_proba","TestConduit","","","test_cookies_decline",""
"passed","Sun Apr 09 00:21:59 GMT 2023","Sun Apr 09 00:22:00 GMT 2023","1243","tests","test_proba","TestConduit","","","test_registration_invalid",""
"passed","Sun Apr 09 00:22:01 GMT 2023","Sun Apr 09 00:22:03 GMT 2023","2568","tests","test_proba","TestConduit","","","test_registration_valid",""
