"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 17:06:25 GMT 2023","Sat Apr 08 17:06:25 GMT 2023","198","tests","test_proba","TestConduit","","","test_cookies_decline",""
"broken","Sat Apr 08 17:06:49 GMT 2023","Sat Apr 08 17:06:56 GMT 2023","7288","tests","test_proba","TestConduit","","","test_del_my_article",""
"passed","Sat Apr 08 17:06:27 GMT 2023","Sat Apr 08 17:06:27 GMT 2023","54","tests","test_proba","TestConduit","","","test_cookies_accept",""
"passed","Sat Apr 08 17:06:35 GMT 2023","Sat Apr 08 17:06:35 GMT 2023","324","tests","test_proba","TestConduit","","","test_signin_invalid",""
"passed","Sat Apr 08 17:06:44 GMT 2023","Sat Apr 08 17:06:47 GMT 2023","3103","tests","test_proba","TestConduit","","","test_my_article_mod",""
"passed","Sat Apr 08 17:06:40 GMT 2023","Sat Apr 08 17:06:43 GMT 2023","2740","tests","test_proba","TestConduit","","","test_new_article",""
"passed","Sat Apr 08 17:06:28 GMT 2023","Sat Apr 08 17:06:29 GMT 2023","956","tests","test_proba","TestConduit","","","test_registration_invalid",""
"passed","Sat Apr 08 17:06:38 GMT 2023","Sat Apr 08 17:06:39 GMT 2023","956","tests","test_proba","TestConduit","","","test_logout",""
"passed","Sat Apr 08 17:06:36 GMT 2023","Sat Apr 08 17:06:37 GMT 2023","842","tests","test_proba","TestConduit","","","test_signin_valid",""
"passed","Sat Apr 08 17:06:31 GMT 2023","Sat Apr 08 17:06:33 GMT 2023","2636","tests","test_proba","TestConduit","","","test_registration_valid",""
